"Jahr","ID_Quartier","Raum","SH_Quote","SH_Beziehende","Zivil_Bevölkerung"
2003,115,"Oerlikon",5.5529300567,940,16928
2003,119,"Seebach",7.788847911,1415,18167
2003,121,"Saatlen",7.4559351115,478,6411
2003,122,"Schwamendingen-Mitte",7.9618494713,768,9646
2003,123,"Hirzenbach",6.7678800073,740,10934
2003,999,"Nicht zuordenbar",".",850,"."
2004,11,"Rathaus",5.0964688751,140,2747
2004,12,"Hochschulen",2.0689655172,12,580
2004,13,"Lindenhof",1.1002444988,18,1636
2004,14,"City",6.4806480648,72,1111
2004,21,"Wollishofen",3.8422580863,569,14809
2004,23,"Leimbach",4.860370923,228,4691
2004,24,"Enge",2.8474840723,219,7691
2004,31,"Alt-Wiedikon",7.2506192299,966,13323
2004,33,"Friesenberg",5.8394160584,584,10001
2004,34,"Sihlfeld",9.0880203368,1716,18882
2004,41,"Werd",8.5995819648,288,3349
2004,42,"Langstrasse",13.381454747,1205,9005
2004,44,"Hard",9.6248514683,1134,11782
2004,51,"Gewerbeschule",8.5084745763,753,8850
2004,52,"Escher Wyss",5.7142857143,138,2415
2004,61,"Unterstrass",4.2325428195,771,18216
2004,63,"Oberstrass",2.1224489796,182,8575
2004,71,"Fluntern",1.4447423295,97,6714
2004,72,"Hottingen",1.7731646665,164,9249
2004,73,"Hirslanden",1.999692355,130,6501
2004,74,"Witikon",1.3215859031,126,9534
2004,81,"Seefeld",3.0209481808,137,4535
2004,82,"Mühlebach",2.3028883685,118,5124
2004,83,"Weinegg",1.8099547511,80,4420
2004,91,"Albisrieden",4.9724433558,812,16330
2004,92,"Altstetten",7.427094869,2012,27090
2004,101,"Höngg",3.3925364199,680,20044
2004,102,"Wipkingen",6.9902640611,998,14277
2004,111,"Affoltern",6.5679510909,1171,17829
2004,115,"Oerlikon",6.3626354523,1098,17257
2004,119,"Seebach",9.0854359367,1660,18271
2004,121,"Saatlen",9.1594827586,595,6496
2004,122,"Schwamendingen-Mitte",9.2151951576,883,9582
2004,123,"Hirzenbach",8.0904059041,877,10840
2004,999,"Nicht zuordenbar",".",880,"."
2005,11,"Rathaus",5.0759540571,137,2699
2005,12,"Hochschulen",2.7272727273,15,550
2005,13,"Lindenhof",1.1578305911,19,1641
2005,14,"City",5.7030481809,58,1017
2005,21,"Wollishofen",3.8546922301,573,14865
2005,23,"Leimbach",5.2037617555,249,4785
2005,24,"Enge",3.0489367153,238,7806
2005,31,"Alt-Wiedikon",7.2377061141,992,13706
2005,33,"Friesenberg",5.9258519037,593,10007
2005,34,"Sihlfeld",9.5879514239,1808,18857
2005,41,"Werd",6.4946361264,224,3449
2005,42,"Langstrasse",13.714285714,1248,9100
2005,44,"Hard",10.277562946,1196,11637
2005,51,"Gewerbeschule",8.229142987,724,8798
2005,52,"Escher Wyss",7.0020120724,174,2485
2005,61,"Unterstrass",4.0865384615,748,18304
2005,63,"Oberstrass",1.8549149338,157,8464
2005,71,"Fluntern",1.3839285714,93,6720
2005,72,"Hottingen",1.4613333333,137,9375
2005,73,"Hirslanden",2.474638795,161,6506
2005,74,"Witikon",1.6367968507,158,9653
2005,81,"Seefeld",3.1082289803,139,4472
2005,82,"Mühlebach",2.4112919035,123,5101
2005,83,"Weinegg",1.9282511211,86,4460
2005,91,"Albisrieden",5.6620839363,939,16584
2005,92,"Altstetten",7.9973391478,2164,27059
2005,101,"Höngg",3.584586279,720,20086
2005,102,"Wipkingen",6.8065398919,970,14251
2005,111,"Affoltern",7.1223628692,1266,17775
2005,115,"Oerlikon",6.7697927964,1186,17519
2005,119,"Seebach",9.7778017474,1813,18542
2005,121,"Saatlen",12.008599509,782,6512
2005,122,"Schwamendingen-Mitte",10.419696655,1003,9626
2005,123,"Hirzenbach",9.8362181277,1057,10746
2005,999,"Nicht zuordenbar",".",580,"."
2006,11,"Rathaus",3.7946428571,102,2688
2006,12,"Hochschulen",1.7857142857,10,560
2006,13,"Lindenhof",9.9321406539,161,1621
2006,14,"City",13.746369797,142,1033
