"oeffnungsz","gebuehren","standort","kreis","typ","poi_id","kommentar"
"24 h, Behinderten-WC 06-22 Uhr, mit EuroKey 24h","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Im neuen Hardaupark hinter dem Albisriederplatz","4","","wcr005","Multifunktions- und Behinderten WC, Wickeltisch."
"Geöffnet 24h. Behinderten WC ohne Eurokey von 06.00-22.00 Uhr.","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Im Oerlikerpark, Birchstrasse 183e","11","","wcr010","Multifunktions- und Behinderten WC, Wickeltisch."
"24h, Behinderten-WC ohne Eurokey von 06.00-22.00 im Winter bis 20.00 Uhr.","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Wasserwerkstrasse 89 / Im Brückenpfeiler der Kornhausbrücke","10","","wcr102","Multifunktions- und  Behinderten-WC mit Eurokey, Wickeltisch."
"Rollstuhlgängiges- und familiengerechtes-WC: von 06:00-22:00 - mit Eurokey 24 h offen. Multifunktions-WC: 24 h offen.","Rollstuhlgängiges- und familiengerechtes-WC: CHF 1.-- / 1 Euro (Kreditkartenzahlung möglich) oder Eurokey. Multifunktions-WC: kostenlos.","Schindlerpark","6","","wcr12221","1 Rollstuhlgängiges- und familiengerechtes-WC Modul mit Wickeltisch und 1 Multifunktions-WC."
"Rollstuhlgängiges- und familiengerechtes-WC: von 06:00-22:00 - mit Eurokey 24 h offen. Multifunktions-WC: 24 h offen.","Rollstuhlgängiges- und familiengerechtes-WC: CHF 1.-- / 1 Euro (Kreditkartenzahlung möglich) oder Eurokey. Multifunktions-WC: kostenlos.","Bahnhof Altstetten - Vulkanplatz","9","","wcr1312","1 Rollstuhlgängiges- und familiengerechtes-WC Modul mit Wickeltisch und  1 Multifunktions-WC"
"Nachts geschlossen.","Rollstuhlgängiges- und familiengerechtes-WC: CHF 1.-- / 1 Euro (Kreditkartenzahlung möglich) oder Eurokey. Multifunktions-WC: kostenlos. ","Im Beckenhofpark, Stampfenbachstrasse 130","6","","wcr2251","1 Rollstuhlgängiges- und familiengerechtes-WC Modul mit Wickeltisch und 1 Multifunktions-WC. Die WCs befindet sich im Park, welcher nachts geschlossen wird."
"MF-WC 24 h, Behinderten-WC mit Eurokey 24h, mit Gebühr Fr. 1.-- 06.00-22.00 Uhr","Behinderten-WC Fr. 1.-- oder Eurokey, Damen- und Herren-WC gratis","Witikonerstrasse beim Einkaufszentrum Witikon","7","","wcr2252","Multifunktions- und Behinderten-WC, Wickeltisch. "
"24h","Gebührenfrei, Behinderten WC mit Eurokey oder Fr. 1.--","Hardplatz","4","","wcr5698","Multifunktions- und Behinderten-WC"
"Multifunktions-WC 24 h, Behinderten-WC mit Eurokey 24h, mit Gebühr Fr. 1.-- 06.00-22.00 Uhr","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Pfingstweid Park am Rande der Wiese.","5","","wcr3629","Multifunktions- und Behinderten WC am Pfingstweid Park."
"05:00 -20:00 mit Eurokey 24h","Fr. 1.-, Eurokey Gratis","Helvetiaplatz Amtshaus","4","","wcr7319","BF, Behinderten-WC"
"24 h","Rollstuhlgängiges-WC Fr. 1.--, Eurokey oder Kreditkartenzahlung möglich, Multifunktions-WC kostenlos benutzbar","Mythenquai 309 / unter der Fussgängerbrücke","2","","wcr13861","3 Multifunktions- und 1 Rollstuhlgängiges-WC mit Eurokey, Wickeltisch."
"Rollstuhlgängiges- und familiengerechtes-WC: von 06:00-22:00 - mit Eurokey 24 h offen. Multifunktions-WC: 24 h offen.","Rollstuhlgängiges-WC CHF 1.-- / 1 Euro (Kreditkartenzahlung möglich) oder Eurokey. Multifunktions-WC kostenlos.","Schlossgasse 21 / Ecke Steinstrasse","3","","wcr13883","1 Rollstuhlgängiges- und familiengerechtes-WC Modul mit Wickeltisch und 1 Multifunktions-WC."
"Rollstuhlgängiges- und familiengerechtes-WC: von 06:00-22:00 - mit Eurokey 24 h offen. Multifunktions-WC: 24 h offen.","Rollstuhlgängiges- und familiengerechtes-WC: CHF 1.-- / 1 Euro  (Kreditkartenzahlung möglich) oder Eurokey. Multifunktions-WC: kostenlos.","Zurlindenstr 22, Spielplatz beim Schulhaus","3","","wcr13884","1 Rollstuhlgängiges- und familiengerechtes-WC Modul mit Wickeltisch und  1 Multifunktions-WC"
"Rollstuhlgängiges- und familiengerechtes-WC: von 06:00-22:00 - mit Eurokey 24 h offen. Multifunktions-WC: 24 h offen.","Rollstuhlgängiges- und familiengerechtes-WC: CHF 1.-- / 1 Euro (Kreditkartenzahlung möglich) oder Eurokey. Multifunktions-WC: kostenlos.","Mythenquai 309 / neben der roten Fussgängerbrücke.","2","","wcr13885","1 Rollstuhlgängiges- und familiengerechtes-WC Modul mit Wickeltisch und 2 Multifunktions-WC."
"Rollstuhlgängiges- und familiengerechtes-WC: von 06:00-22:00 - mit Eurokey 24 h offen. Multifunktions-WC: 24 h offen.","Rollstuhlgängiges- und familiengerechtes-WC: CHF 1.-- / 1 Euro (Kreditkartenzahlung möglich) oder Eurokey. Multifunktions-WC: kostenlos.","Bändlistrasse 90, 8064 Zürich","9","","wcr13941","1 Rollstuhlgängiges- und familiengerechtes-WC Modul mit Wickeltisch und 1 Multifunktions-WC."
"Während der Öffnungszeiten der Rio Bar","Gebühr Fr. 1.-- oder Eurokey","Gessnerallee 17 / Rio Bar, Gessnerbrücke","1","","wcr007","Öffentlich zugängliches Behinderten WC in der Bar Rio, Wickeltisch. "
"Rollstuhlgängiges- und familiengerechtes-WC Modul:                      von 06:00 - 22:00 h,                              mit Eurokey 24 h offen.     ","Rollstuhlgängiges- und familiengerechtes-WC: CHF 1.-- / 1 Euro (Kreditkartenzahlung möglich) oder kostenlos mit Eurokey.                   Multifunktions-WC: kostenlos.","Lindenplatz 1 / Kioskgebäude","9","","wcr077","1 Rollstuhlgängiges- und familiengerechtes-WC Modul mit Wickeltisch und 1 Multifunktions-WC."
"24h","Behinderten-WC mit Eurokey oder Fr. 1.--. Multifunktions-WC gebührenfrei","Max-Frisch-Platz","11","","wcr4920","Multifunktions- und Behinderten WC. Die Anlage befindet sich in der Bahnhofsunterführung."
"24 h","Gebührenfrei. Behinderten WC Fr. 1.- oder Eurokey","Stauffacher","4","","wcr6098","Multifunktions- und Behinderten-WC"
